Time (s),Channel 0 Weight,Channel 1 Weight,Channel 2 Weight,Channel 3 Weight
0.00,0.1214,0.1243,0.1336,0.0
1.00,0.1219,0.1245,0.1331,0.1306
2.00,0.1222,0.1244,0.1329,0.131
3.00,0.1223,0.125,0.1331,0.1309
4.01,0.1218,0.1241,0.1333,0.1308
5.01,0.1222,0.1246,0.1333,0.1307
6.01,0.1217,0.1242,0.1335,0.1307
7.01,0.4233,0.1165,0.1625,-0.9671
8.01,-1.0468,1.1113,4.8445,-20.2592
9.01,-0.6588,-1.2175,3.0412,-8.6559
10.01,-0.1919,-2.7399,2.4983,-5.6743
11.01,1.8818,-1.616,-2.7111,7.3035
12.01,4.5707,-3.3265,-4.0837,38.3656
13.01,1.0807,-5.5154,-5.1566,47.6206
14.02,2.8194,-1.5142,-1.3203,5.6631
15.02,0.0901,0.1619,0.146,0.1194
16.02,0.0953,0.1374,0.1356,0.1153
17.02,0.0935,0.1379,0.1364,0.1176
